Pagina_PDF;Modello PAL;Frame;Portata Massima Mandata Standard;Portata Massima Mandata Standard unit;Prevalenza Massima Mandata 1;Prevalenza Massima Mandata 1 unit;Portata Massima Ripresa Standard;Portata Massima Ripresa Standard unit;Prevalenza Massima Ripresa FC1;Prevalenza Massima Ripresa FC1 unit;Aria esterna massima freecooling;Aria esterna massima freecooling unit;Rapporto di temperatura minimo2;Rapporto di temperatura minimo2 unit;Portata massima aria esterna con η 1253/4 > 73%;Portata massima aria esterna con η 1253/4 > 73% unit;Potenza frigorifera netta 0% aria esterna3;Potenza frigorifera netta 0% aria esterna3 unit;Potenza assorbita 0% aria esterna3;Potenza assorbita 0% aria esterna3 unit;EER compressori3;Potenza termica 0% aria esterna4;Potenza termica 0% aria esterna4 unit;Potenza assorbita 0% aria esterna4;Potenza assorbita 0% aria esterna4 unit;COP compressori4;Potenza termica 0% aria esterna5;Potenza termica 0% aria esterna5 unit;Potenza assorbita 0% aria esterna5;Potenza assorbita 0% aria esterna5 unit;COP compressori5;Potenza recuperata minima dalla ruota 30% a.e.6;Potenza recuperata minima dalla ruota 30% a.e.6 unit;Potenza frigorifera totale macchina6;Potenza frigorifera totale macchina6 unit;EER minimo sistema riferito ai soli compressori6;Potenza recuperata minima dalla ruota 30% a.e.7;Potenza recuperata minima dalla ruota 30% a.e.7 unit;Potenza termica totale macchina7;Potenza termica totale macchina7 unit;COP minimo sistema riferito ai soli compressori7;Potenza recuperata minima dalla ruota 30% a.e.8;Potenza recuperata minima dalla ruota 30% a.e.8 unit;Potenza termica totale macchina8;Potenza termica totale macchina8 unit;COP minimo sistema riferito ai soli compressori8;Efficienza stagionale in raffreddamento 9;Efficienza stagionale in raffreddamento 9 unit;Efficienza stagionale in riscaldamento 10;Efficienza stagionale in riscaldamento 10 unit;N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Potenza termica massima modulo gas unit;Efficienza massima sul PCI;Efficienza massima sul PCI unit;1 Prevalenza Massima Mandata;1 Prevalenza Massima Mandata unit;1 Prevalenza Massima Ripresa FC;1 Prevalenza Massima Ripresa FC unit;2 Rapporto di temperatura minimo;2 Rapporto di temperatura minimo unit;3 Potenza frigorifera netta 0% aria esterna;3 Potenza frigorifera netta 0% aria esterna unit;3 Potenza assorbita 0% aria esterna;3 Potenza assorbita 0% aria esterna unit;4 Potenza termica 0% aria esterna;4 Potenza termica 0% aria esterna unit;4 COP compressori;5 Potenza termica 0% aria esterna;5 Potenza termica 0% aria esterna unit;5 Potenza assorbita 0% aria esterna;5 Potenza assorbita 0% aria esterna unit;5 COP compressori;6 Potenza recuperata minima dalla ruota 30% a.e.;6 Potenza recuperata minima dalla ruota 30% a.e. unit;6 Potenza frigorifera totale macchina;6 Potenza frigorifera totale macchina unit;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 30% a.e.;7 Potenza recuperata minima dalla ruota 30% a.e. unit;7 Potenza termica totale macchina;7 Potenza termica totale macchina unit;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;8 Potenza termica totale macchina unit;9 Efficienza stagionale in raffreddamento;9 Efficienza stagionale in raffreddamento unit;10 Efficienza stagionale in riscaldamento;10 Efficienza stagionale in riscaldamento unit;Potenza massima assorbita M/FCS;Potenza massima assorbita M/FCS unit;Corrente massima assorbita M/FCS;Corrente massima assorbita M/FCS unit;Spunto massimo M/FCS;Spunto massimo M/FCS unit;Alimentazione
3,72;061-035;A;34,41;m3/h;7652,24;Pa;36,47;m3/h;6317,31;Pa;35,82;m3/h;685,11;%;32,16;m3/h;20.0;kW;4.81;kW;4.26;17.33;kW;3.02;kW;5.4;11.11;kW;2.66;kW;4.31;6.5;kW;26.54;kW;5.27;3.38;kW;20.03;kW;5.84;5.99;kW;18.23;kW;5.84;154.47;%;159.93;%;1/1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;43.92;kW;107.03;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,23;091-051;A;49,31;m3/h;10,49;Pa;51,45;m3/h;5866,73;Pa;48,54;m3/h;785,13;%;48,64;m3/h;26.72;kW;5.63;kW;4.39;23.38;kW;4.49;kW;5.72;14.59;kW;4.12;kW;3.99;8.33;kW;36.65;kW;5.91;4.52;kW;26.1;kW;6.49;8.8;kW;27.95;kW;6.82;148.05;%;145.68;%;1/1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;39.09;kW;99.5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,33;0101-057;A;52,77;m3/h;8443,08;Pa;61,4;m3/h;7087,04;Pa;51,93;m3/h;722,91;%;56,37;m3/h;33.54;kW;8.51;kW;3.96;30.97;kW;5.92;kW;4.92;20.42;kW;5.65;kW;4.0;9.25;kW;42.51;kW;5.19;5.35;kW;36.63;kW;5.8;10.41;kW;34.1;kW;5.62;146.64;%;143.1;%;1/1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;41.69;kW;113.23;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,31;0121-068;B;69,07;m3/h;7336,88;Pa;61,43;m3/h;6563,77;Pa;68,84;m3/h;793,69;%;67,98;m3/h;33.52;kW;8.87;kW;4.15;29.41;kW;6.45;kW;5.39;24.25;kW;5.18;kW;4.01;11.42;kW;48.78;kW;5.7;6.43;kW;35.73;kW;6.33;11.73;kW;37.47;kW;6.62;147.18;%;142.83;%;2/1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59.99;kW;100.15;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3,87;0141-079;B;75,0;m3/h;8634,18;Pa;71,41;m3/h;6425,79;Pa;75,56;m3/h;712,71;%;82,26;m3/h;37.8;kW;9.22;kW;3.73;41.76;kW;7.82;kW;5.26;25.83;kW;7.18;kW;3.64;13.81;kW;56.77;kW;5.1;7.79;kW;48.27;kW;6.08;13.01;kW;40.6;kW;6.41;121.79;%;149.79;%;2/1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;64.68;kW;99.51;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,14;0161-090;B;84,44;m3/h;8205,49;Pa;92,29;m3/h;6814,28;Pa;90,44;m3/h;696,46;%;83,7;m3/h;50.52;kW;10.59;kW;3.71;44.64;kW;8.77;kW;4.96;29.14;kW;7.28;kW;4.23;15.38;kW;63.59;kW;5.72;7.95;kW;47.01;kW;6.42;15.79;kW;45.44;kW;6.27;121.87;%;142.45;%;2/1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G040;42.76;kW;112.63;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,19;0181-102;B;105,51;m3/h;10,31;Pa;96,49;m3/h;7334,88;Pa;97,32;m3/h;660,85;%;94,78;m3/h;51.37;kW;11.7;kW;3.7;49.07;kW;8.87;kW;5.35;30.9;kW;8.97;kW;3.66;15.8;kW;65.65;kW;5.14;10.59;kW;56.52;kW;6.1;20.3;kW;50.04;kW;6.74;129.19;%;129.65;%;2/1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;63.25;kW;116.8;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,43;0201-102;B;111,48;m3/h;10,21;Pa;105,06;m3/h;7309,36;Pa;100,83;m3/h;725,26;%;103,34;m3/h;54.08;kW;14.88;kW;3.81;48.88;kW;11.42;kW;5.0;41.78;kW;9.78;kW;3.96;16.12;kW;71.77;kW;4.63;9.08;kW;64.66;kW;6.0;18.69;kW;53.0;kW;5.6;125.68;%;135.02;%;2/1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59.17;kW;97.38;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,93;0122-068;C;72,15;m3/h;8244,72;Pa;67,02;m3/h;6227,88;Pa;73,3;m3/h;706,9;%;62,67;m3/h;33.03;kW;8.42;kW;4.07;33.28;kW;7.03;kW;5.01;21.86;kW;5.55;kW;3.94;11.22;kW;44.74;kW;5.71;6.98;kW;37.13;kW;6.35;12.42;kW;37.87;kW;5.79;119.1;%;120.17;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;39.91;kW;110.03;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5,0;0142-079;C;78,97;m3/h;8452,13;Pa;84,79;m3/h;6544,67;Pa;72,54;m3/h;775,1;%;74,61;m3/h;38.26;kW;9.42;kW;4.28;34.34;kW;7.67;kW;4.81;25.7;kW;6.37;kW;3.96;14.18;kW;57.74;kW;5.85;7.67;kW;49.75;kW;5.99;14.48;kW;39.76;kW;6.48;115.16;%;131.68;%;2 / 2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;37.84;kW;114.62;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
