Pagina_PDF;Modello Prodotto;Grandezza Telaio;Portata Massima;Pressione Operativa;Portata Aria Ripresa Max;Pressione Spinta Massima;Aria esterna massima;Valore di temperatura minimo;Capacita Massima Aria Esterna;Capacita frigorifera aria esterna;Capacita di assorbimento aria esterna;EER compressori;Potenza termica aria esterna;Potenza assorbita aria esterna;COP compressori;Potenza aria calda esterna;Potenza assorbita aria esterna 5;COP compressori.1;Potenza recuperata minima;Potenza frigorifera totale macchina;EER minimo;Recupero Termico Minimo;Potenza termica totale macchina7;COP minimo sistema riferito ai soli compressori7;Recupero Termico;Potenza termica totale macchina;COP minimo;Efficienza stagionale in raffreddamento 9;Efficienza stagionale in riscaldamento 10;N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Efficienza massima sul PCI;1 Pressione Massima;1 Pressione Massima Ripresa;2 Rapporto di temperatura minimo;3 Potenza frigorifera aria esterna;3 Potenza assorbita aria esterna;4 Potenza termica aria esterna;4 COP compressori;5 Potenza termica aria esterna;5 Potenza assorbita aria esterna;5 COP compressori;Recupero Termico Minimo2;6 Potenza frigorifera totale macchina;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 33% a.e.;7 Potenza termica totale macchina;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;9 Efficienza stagionale in raffreddamento;10 Efficienza stagionale in riscaldamento;Potenza massima assorbita;Corrente massima assorbita;Spunto massimo M/FCS;Alimentazione
4;AB-34;A;3.441;765.0;3.647;631.0;3.582;75.0;3.216;20.5;4.8;4.2;17.3;3.2;5.4;11.1;2.6;4.6;6.5;26.4;5.7;3,8;20.3;5.4;5,9;18.3;5.4;154,7;159,3;1-1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;43.92;107,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;CD-49;A;4.931;1.049;5.145;586.0;4.854;75.0;4.864;26.7;5.6;4.9;23.8;4.9;5.2;14.9;4.2;3.9;8.3;36.5;5.1;4,2;26.1;6.9;8,8;27.5;6.2;148,5;145,8;1-1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;39.09;99,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;EF-52;A;5.277;844.0;6.14;708.0;5.193;75.0;5.637;33.5;8.5;3.9;30.7;5.2;4.9;20.2;5.5;4.1;9.5;42.1;5.9;5,5;36.3;5.8;10,1;34.1;5.2;146,4;143,1;1-1;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;41.69;113,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;GH-69;B;6.907;733.0;6.143;656.0;6.884;75.0;6.798;31.5;8.8;4.1;29.1;6.5;5.9;24.5;5.8;4.1;11.2;48.8;5.7;6,3;35.3;6.3;11,3;37.7;6.2;147,8;142,3;2-1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59.9;100,5;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
4;IJ-75;B;7.5;863.0;7.141;642.0;7.556;75.0;8.226;37.8;9.2;3.7;41.6;7.2;5.6;25.3;7.8;3.4;13.1;56.7;5.1;7,9;48.7;6.8;13,1;40.6;6.1;121,9;149,9;2-1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;64.8;99,1;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;KL-84;B;8.444;820.0;9.229;681.0;9.044;75.0;8.378;50.5;10.5;3.6;44.4;8.7;4.6;29.4;7.8;4.3;15.8;63.9;5.2;7,5;47.1;6.2;15,9;45.4;6.7;121,7;142,5;2-1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G040;42.76;112,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;MN-10;B;10.551;1.031;9.649;733.0;9.732;75.0;9.478;51.3;11.7;3.7;49.7;8.8;5.5;30.9;8.7;3.6;15.8;65.5;5.4;10,9;56.2;6.1;20,3;50.4;6.4;129,9;129,5;2-1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;63.25;116,8;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;OP-11;B;11.148;1.021;10.506;730.0;10.083;75.0;10.334;54.6;14.8;3.8;48.8;11.2;5.6;41.8;9.8;3.6;16.2;71.7;4.3;9,8;64.6;6.6;18,9;53.2;5.6;125,8;135,2;2-1;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59.17;97,8;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;QR-72;C;7.215;824.0;6.702;622.0;7.33;75.0;6.267;33.2;8.4;4.7;33.8;7.3;5.1;21.6;5.5;3.4;11.2;44.4;5.1;6,8;37.3;6.5;12,2;37.7;5.9;119,1;120,7;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;39.91;110,3;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;ST-78;C;7.897;845.0;8.479;654.0;7.254;75.0;7.461;38.2;9.4;4.2;34.4;7.7;4.1;25.7;6.7;3.6;14.8;57.4;5.5;7,7;49.5;5.9;14,8;39.6;6.8;115,6;131,8;2-2;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;37.84;114,2;;;;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
