Pagina_PDF;Modello Prodotto;Tipo;Portata Massima;Unità di misura;Pressione Operativa;Unità di misura;Portata Massima Ripresa;Unità di misura;Pressione Spinta Massima;Unità di misura;Aria esterna massima;Unità di misura;Valore di temperatura minimo;Unità di misura;Capacita Massima Aria Esterna;Unità di misura;Capacita frigorifera aria esterna;Unità di misura;Capacita di assorbimento aria esterna;Unità di misura;EER compressori;Potenza termica aria esterna;Unità di misura;Potenza assorbita  aria esterna;Unità di misura;COP compressori;Potenza aria calda esterna;Unità di misura;Potenza assorbita aria esterna 5;Unità di misura;COP compressori;Potenza recuperata minima;Unità di misura;Potenza frigorifera totale macchina6;Unità di misura;EER minimo sistema riferito ai soli compressori6;Potenza recuperata minima dalla ruota 40% a.e.9;Unità di misura;Potenza termica totale macchina7;Unità di misura;COP minimo sistema riferito ai soli compressori7;Potenza recuperata minima dalla ruota 20% a.e.6;Unità di misura;Potenza termica totale macchina;Potenza (KW);COP minimo sistema riferito ai soli compressori8;Efficienza stagionale in raffreddamento 9;Efficenza (%);Efficienza stagionale in riscaldamento 10;Efficenza (%);N. compressori / N. circuiti;Modulazione carico;Fluido refrigerante;Valvola espansione;Tipologia ventilatori sezione ventilante esterna;Tipologia ventilatori sezione ventilante mandata;Modulo gas massimo;Potenza termica massima modulo gas;Potenza (KW);Efficienza massima sul PCI;Efficenza (%);1 Prevalenza Massima Mandata;1 Prevalenza Massima Mandata unit;1 Prevalenza Massima Ripresa FC;1 Prevalenza Massima Ripresa FC unit;2 Rapporto di temperatura minimo;2 Rapporto di temperatura minimo unit;3 Potenza frigorifera netta 0% aria esterna;3 Potenza frigorifera netta 0% aria esterna unit;3 Potenza assorbita 0% aria esterna;3 Potenza assorbita 0% aria esterna unit;4 Potenza termica 0% aria esterna;4 Potenza termica 0% aria esterna unit;4 COP compressori;5 Potenza termica 0% aria esterna;5 Potenza termica 0% aria esterna unit;5 Potenza assorbita 0% aria esterna;5 Potenza assorbita 0% aria esterna unit;5 COP compressori;6 Potenza recuperata minima dalla ruota 30% a.e.;6 Potenza recuperata minima dalla ruota 30% a.e. unit;6 Potenza frigorifera totale macchina;6 Potenza frigorifera totale macchina unit;6 EER minimo sistema riferito ai soli compressori;7 Potenza recuperata minima dalla ruota 30% a.e.;7 Potenza recuperata minima dalla ruota 30% a.e. unit;7 Potenza termica totale macchina;7 Potenza termica totale macchina unit;7 COP minimo sistema riferito ai soli compressori;8 Potenza termica totale macchina;8 Potenza termica totale macchina unit;9 Efficienza stagionale in raffreddamento;9 Efficienza stagionale in raffreddamento unit;10 Efficienza stagionale in riscaldamento;10 Efficienza stagionale in riscaldamento unit;Potenza massima assorbita M/FCS;Potenza massima assorbita M/FCS unit;Corrente massima assorbita M/FCS;Corrente massima assorbita M/FCS unit;Spunto massimo M/FCS;Spunto massimo M/FCS unit;Alimentazione
4;AB-34;A;3.441;m3/h;765;Pa;3.647;m3/h;631;Pa;3.582;m3/h;75;%;3.216;m3/h;20,5;kW;4,8;kW;4,2;17,3;kW;3,2;kW;5,4;11,1;kW;2,6;kW;4,6;6,5;kW;26,4;kW;5,7;3,8;kW;20,3;kW;5,4;5,9;kW;18,3;kW;5,4;154,7;%;159,3;%;01-gen;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;43,92;kW;107,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;CD-49;A;4.931;m3/h;1.049;Pa;5.145;m3/h;586;Pa;4.854;m3/h;75;%;4.864;m3/h;26,7;kW;5,6;kW;4,9;23,8;kW;4,9;kW;5,2;14,9;kW;4,2;kW;3,9;8,3;kW;36,5;kW;5,1;4,2;kW;26,1;kW;6,9;8,8;kW;27,5;kW;6,2;148,5;%;145,8;%;01-gen;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;39,09;kW;99,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;EF-52;A;5.277;m3/h;844;Pa;6.140;m3/h;708;Pa;5.193;m3/h;75;%;5.637;m3/h;33,5;kW;8,5;kW;3,9;30,7;kW;5,2;kW;4,9;20,2;kW;5,5;kW;4,1;9,5;kW;42,1;kW;5,9;5,5;kW;36,3;kW;5,8;10,1;kW;34,1;kW;5,2;146,4;%;143,1;%;01-gen;inverter;R410A;Elettronica;Assiali EC;Plug fan EC;G040;41,69;kW;113,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;GH-69;B;6.907;m3/h;733;Pa;6.143;m3/h;656;Pa;6.884;m3/h;75;%;6.798;m3/h;31,5;kW;8,8;kW;4,1;29,1;kW;6,5;kW;5,9;24,5;kW;5,8;kW;4,1;11,2;kW;48,8;kW;5,7;6,3;kW;35,3;kW;6,3;11,3;kW;37,7;kW;6,2;147,8;%;142,3;%;02-gen;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59,9;kW;100,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;IJ-75;B;7.500;m3/h;863;Pa;7.141;m3/h;642;Pa;7.556;m3/h;75;%;8.226;m3/h;37,8;kW;9,2;kW;3,7;41,6;kW;7,2;kW;5,6;25,3;kW;7,8;kW;3,4;13,1;kW;56,7;kW;5,1;7,9;kW;48,7;kW;6,8;13,1;kW;40,6;kW;6,1;121,9;%;149,9;%;02-gen;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;64,8;kW;99,1;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;KL-84;B;8.444;m3/h;820;Pa;9.229;m3/h;681;Pa;9.044;m3/h;75;%;8.378;m3/h;50,5;kW;10,5;kW;3,6;44,4;kW;8,7;kW;4,6;29,4;kW;7,8;kW;4,3;15,8;kW;63,9;kW;5,2;7,5;kW;47,1;kW;6,2;15,9;kW;45,4;kW;6,7;121,7;%;142,5;%;02-gen;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G040;42,76;kW;112,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;MN-10;B;10.551;m3/h;1.031;Pa;9.649;m3/h;733;Pa;9.732;m3/h;75;%;9.478;m3/h;51,3;kW;11,7;kW;3,7;49,7;kW;8,8;kW;5,5;30,9;kW;8,7;kW;3,6;15,8;kW;65,5;kW;5,4;10,9;kW;56,2;kW;6,1;20,3;kW;50,4;kW;6,4;129,9;%;129,5;%;02-gen;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;63,25;kW;116,8;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;OP-11;B;11.148;m3/h;1.021;Pa;10.506;m3/h;730;Pa;10.083;m3/h;75;%;10.334;m3/h;54,6;kW;14,8;kW;3,8;48,8;kW;11,2;kW;5,6;41,8;kW;9,8;kW;3,6;16,2;kW;71,7;kW;4,3;9,8;kW;64,6;kW;6,6;18,9;kW;53,2;kW;5,6;125,8;%;135,2;%;02-gen;gradini;R410A;Elettronica;Assiali EC;Plug fan EC;G065;59,17;kW;97,8;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;QR-72;C;7.215;m3/h;824;Pa;6.702;m3/h;622;Pa;7.330;m3/h;75;%;6.267;m3/h;33,2;kW;8,4;kW;4,7;33,8;kW;7,3;kW;5,1;21,6;kW;5,5;kW;3,4;11,2;kW;44,4;kW;5,1;6,8;kW;37,3;kW;6,5;12,2;kW;37,7;kW;5,9;119,1;%;120,7;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;39,91;kW;110,3;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;ST-78;C;7.897;m3/h;845;Pa;8.479;m3/h;654;Pa;7.254;m3/h;75;%;7.461;m3/h;38,2;kW;9,4;kW;4,2;34,4;kW;7,7;kW;4,1;25,7;kW;6,7;kW;3,6;14,8;kW;57,4;kW;5,5;7,7;kW;49,5;kW;5,9;14,8;kW;39,6;kW;6,8;115,6;%;131,8;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;37,84;kW;114,2;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;UV-86;C;8.656;m3/h;813;Pa;8.484;m3/h;622;Pa;9.404;m3/h;75;%;8.616;m3/h;42,2;kW;10,9;kW;4,2;39,3;kW;7,4;kW;5,2;29,3;kW;6,9;kW;4,4;16,7;kW;65,7;kW;5,6;8,5;kW;47,5;kW;6,8;17,2;kW;44,9;kW;5,8;137,3;%;115,1;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G040;44,16;kW;100,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;WX-111;C;11.158;m3/h;1.175;Pa;10.528;m3/h;683;Pa;9.423;m3/h;75;%;9.796;m3/h;54,4;kW;12,5;kW;4,1;48,4;kW;9,7;kW;4,7;33,8;kW;7,1;kW;4,1;19,7;kW;64,5;kW;5,2;9,5;kW;56,7;kW;5,5;18,5;kW;50,8;kW;5,4;124,5;%;109,9;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64,83;kW;113,7;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;YZ-108;C;10.857;m3/h;1.136;Pa;10.052;m3/h;710;Pa;10.202;m3/h;75;%;9.914;m3/h;59,4;kW;14,8;kW;3,7;56,5;kW;10,4;kW;4,4;36,2;kW;9,3;kW;3,7;18,6;kW;67,4;kW;5,9;9,3;kW;61,2;kW;5,1;19,9;kW;55,5;kW;6,2;128,5;%;113,1;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;67,28;kW;114,5;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;AC-102;D;10.203;m3/h;1.146;Pa;10.793;m3/h;710;Pa;11.167;m3/h;75;%;10.716;m3/h;51,6;kW;10,9;kW;3,8;45,7;kW;9,3;kW;4,7;34,2;kW;7,9;kW;3,1;15,9;kW;64,6;kW;5,2;9,2;kW;52,8;kW;5,9;16,7;kW;47,5;kW;6,4;124,8;%;115,3;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;58,23;kW;115,7;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;AD-115;D;11.523;m3/h;915;Pa;11.294;m3/h;591;Pa;11.053;m3/h;75;%;11.026;m3/h;64,9;kW;14,3;kW;4,5;56,1;kW;11,1;kW;4,8;37,9;kW;10,4;kW;4,3;20,8;kW;82,2;kW;5,1;11,1;kW;72,2;kW;6,2;20,6;kW;63,3;kW;6,7;124,3;%;117,7;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;64,81;kW;111,6;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AE-131;D;13.169;m3/h;758;Pa;14.589;m3/h;614;Pa;13.308;m3/h;75;%;11.476;m3/h;68,4;kW;16,2;kW;3,8;67,9;kW;13,3;kW;4,9;47,3;kW;11,8;kW;4,8;23,5;kW;87,7;kW;5,4;12,6;kW;77,5;kW;6,4;25,6;kW;70,7;kW;6,4;119,5;%;112,4;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65,56;kW;104,4;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;AF-128;D;12.804;m3/h;804;Pa;14.104;m3/h;643;Pa;12.474;m3/h;75;%;12.002;m3/h;73,1;kW;16,9;kW;4,3;73,3;kW;16,3;kW;4,5;47,3;kW;12,5;kW;3,6;25,4;kW;104,5;kW;4,2;13,5;kW;92,5;kW;5,8;22,8;kW;69,4;kW;5,4;112,2;%;114,8;%;02-feb;gradini;R410A;Meccanica;Assiali EC;Plug fan EC;G065;65,38;kW;116,7;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
