Categoria;Prodotto;URL;Descrizione
Unità di trattamento per sale operatorie;UNITA' INTEGRATE SO - SO2;https://www.zoppellaro.net/impianti-aria-sale-operatorie;"Le unità UTA SO sono progettate specificamente per garantire aria pulita e controllata in ambienti critici come sale operatorie, terapie intensive, sale diagnostiche e laboratori. Queste unità monoblocco, con portate d'aria da 2.000 a 16.000 m³/h, offrono una soluzione completa e pronta all'uso (""plug & play"") con quadro elettrico, regolazione, sonde, valvole e umidificatore preinstallati e preconfigurati. La struttura in alluminio con pannelli sandwich in acciaio e isolamento poliuretanico garantisce robustezza, igiene e efficienza energetica. La filtrazione dell'aria a doppio stadio (F7 e F9) e la possibilità di gestire la sovrappressione o depressione della sala assicurano un ambiente sterile e sicuro. Inoltre, il sistema di recupero di calore integrato contribuisce a ridurre i consumi energetici. Le unità UTA SO sono la soluzione ideale per garantire il massimo comfort e sicurezza in ambienti sanitari."
Unità di trattamento per sale operatorie;UNITA' INTEGRATE SO RT Unità in versione speciale;https://www.zoppellaro.net/impianti-aria-sale-operatorie;Le unità SO RT sono la soluzione ideale per chi cerca un sistema completo di trattamento aria per sale operatorie, con la massima efficienza e flessibilità di installazione. Grazie al circuito frigorifero integrato, le unità SO RT permettono di gestire in modo preciso la temperatura e l'umidità della sala, garantendo il massimo comfort per il personale medico e i pazienti. Inoltre, l'installazione rooftop semplifica la progettazione e riduce i costi di installazione. Le unità SO RT sono personalizzabili con diverse opzioni e accessori per rispondere a qualsiasi esigenza. Contattaci per un preventivo personalizzato e scopri come possiamo migliorare la qualità dell'aria nei tuoi ambienti critici.
Unità di trattamento per sale operatorie;UTA SO;https://www.zoppellaro.net/impianti-aria-sale-operatorie;Le unità denominate SO sono centrali di trattamento aria per l’utilizzo specifico nelle sale operatorie, e sono disponibili ed adattabili per qualsiasi dimensione di superficie servita. Le caratteristiche principali di tali impianti sono: Impedire l’ingresso di agenti patogeni e contaminanti
Unità di trattamento per sale operatorie;Impedire l’ingresso di agenti patogeni e contaminanti;https://www.zoppellaro.net/impianti-aria-sale-operatorie;Massima pulizia dell’aria in ambiente
Unità di trattamento per sale operatorie;Massima pulizia dell’aria in ambiente;https://www.zoppellaro.net/impianti-aria-sale-operatorie;Facilmente igienizzabili e sterilizzabili
Unità di trattamento per sale operatorie;Facilmente igienizzabili e sterilizzabili;https://www.zoppellaro.net/impianti-aria-sale-operatorie;Semplicità di manutenzione.
Deumidificatori e climatizzatori per piscine;CLIMATIZZATORI DNA X POOL – DNA X POOL2;https://www.zoppellaro.net/deumidificatori-per-piscine;Deumidificatore autonomo per piscine con recuperatore a flussi incrociati e pompa di calore aria-aria integrata portate da 2.000 a 35.000 mc/h.• Riscaldamento, deumidifica invernale di piscine coperte ad uso natatorio• Produzione secondaria di acqua calda per il riscaldamento della vasca o ACS
Deumidificatori e climatizzatori per piscine;CLIMATIZZATORI DNA X SPA;https://www.zoppellaro.net/deumidificatori-per-piscine;Climatizzatore autonomo per piccole SPA e piscine con recuperatore a flussi incrociati e pompa di calore reversibile aria-aria integrata portate da 500 a 3.500 mc/h• Climatizzazione e deumidificazione autonoma per SPA• Climatizzazione e deumidificazione autonoma per piscine domesticheindoor e piscine riabilitative
Deumidificatori e climatizzatori per piscine;CLIMATIZZATORI DNA SPA;https://www.zoppellaro.net/deumidificatori-per-piscine;Deumidificatori autonomiper piccole piscine e SPAportate da 800 a 3.200 m3/h• Climatizzazione e deumidificazione autonoma per SPA• Climatizzazione e deumidificazione autonoma per piscine domesticheindoor e piscine riabilitative
Deumidificatori e climatizzatori per piscine;DNA X POOL E X SPA: LA LINEA DI DEUMIDIFICATORI PER PISCINE E AREE WELLNESS;https://www.zoppellaro.net/deumidificatori-per-piscine;"I deumidificatori DNA X POOL sono unità di trattamento aria ad alto recupero energetico per piscine coperte, vasche riabilitative e Spa. Rispondono perfettamente alle esigenzedi ventilazione, ricambio d’aria, deumidificazione e risparmio energetico. Dispongono di un doppio sistema di recupero dell’energia dell’aria espulsa con recuperatore a flussi incrociati e pompa di calore aria-aria. A tale configurazione base può essere aggiunto un ulteriore scambiatore a piastre per recuperare l’energia ed utilizzare la stessa sotto forma di calda sanitaria o riscaldando l’acqua della piscina. I deumidificatori DNA X POOL sono molto flessibili, realizzabili in diversi materiali, secondo le specifiche del cliente e del luogo di installazione. Massimizzazione dell’efficienza e riduzione del dispendio energetico; regolazione integrata che consente di far variare rapidamente temperatura, umidità e tipo di pressurizzazione; comfort assoluto sia estivo che invernale; Facilità di igienizzazione, manutenzione ed accessibilità ai componenti interni; Bassi valori di rumorosità all'esterno della macchina."
Deumidificatori e climatizzatori per piscine;L’IMPORTANZA DELL’IMPIANTO DI DEUMIDIFICAZIONE;https://www.zoppellaro.net/deumidificatori-per-piscine;Respirare aria sana e pulita è fondamentale, in qualsiasi ambiente, per questo è importante avvalersi di apparecchiature e sistemi all’ avanguardia. Le unità di deumidificazione Zoppellaro rispondono ad elevati standard qualitativi, ponendosi come soluzione privilegiata per chi sceglie di installare un impianto di trattamento dell'aria all'interno del proprio centro sportivo, palestra, piscina mantenendo le migliori condizioni di benessere durante tutto l'anno. Garantire un livello di benessere per i bagnanti in una atmosfera sana, che duri nel tempo è una prerogativa fondamentale. Uno dei principali problemi quando si realizza una piscina coperta è dato dall’ umidità che satura progressivamente l’aria già ricca di sostanze aggressive come cloro, bromo o altri disinfettanti. Inoltre con il passare del tempo l’eccessiva umidità intacca i muri e penetra nelle pareti, provocando degrado del locale. Questi problemi sono di facile soluzione quando si installa un deumidificatore ad alto rendimento così da garantire un impianto igienico efficace ed efficiente.
Precondizionamento aeromobili;PCA;https://www.zoppellaro.net/unita-precondizionamento-aereomobili;Condensati ad acqua• Unità industriali su specifiche del cliente
Precondizionamento aeromobili;PCA;https://www.zoppellaro.net/unita-precondizionamento-aereomobili;Condensati ad aria• Unità industriali su specifiche del cliente
Precondizionamento aeromobili;PCA;https://www.zoppellaro.net/unita-precondizionamento-aereomobili;Con punto rugiada < a 0° C• Unità industriali su specifiche del cliente
Referenze;INDUSTRIA;https://www.zoppellaro.net/Referenze;Fanuc Italia srl, Lainate (MI)Gucci spa, Scandicci (FI)Pelliconi spa, Ozzano dell’Emilia (BO) Brembo, Polonia FCA Mirafiori Plant, Torino Unigrà, Conselice (RA) Golden goose spa, Marghera (VE)Haupt Pharma, Latina Manifattura Berluti, Gaibanella (FE)Acqua San Benedetto, Scorzè (VE)
Referenze;SERVIZI;https://www.zoppellaro.net/Referenze;H Farm Campus, Roncade (TV)Torre Kenzo, BolognaBagni Misteriosi Teatro Parenti, MilanoLa Nuvola di Fuksas, Roma Nuovo Politecnico di Milano, Lecco Università di Modena Tribunale di Milano Centro EFSA, Parma Incubatore Universitario imprese Tecnologiche Politecnico Di Torino Infinite Area, Montebelluna (TV)
Referenze;PISCINE PUBBLICHE E PRIVATE;https://www.zoppellaro.net/Referenze;Piscina Virgin Active Collection, NapoliPiscina David Lloyd Malaspina Peschiera Borromeo (MI) Piscina comunale Francavilla al mare (CH)Piscina Condominiale Porta Vittoria, Milano Piscina Salvator MUndi International Hospital, RomaPiscina comunale di Fermo (FM) Centro fitness e wellness Morphé, C. commerciale Levante, Livorno Piscine residenze private Milano, Trieste, Rovigo, Castelfranco VenetoPiscina comunale di Casoria (NA)Piscina comunale Sant'Elpidio al mare (FM)
Referenze;SANITA';https://www.zoppellaro.net/Referenze;Ospedale San Gerardo, MonzaTendo struttura Covid Ospedale San Raffaele (MI)Istituto Oncologico Veneto, PadovaCamera sterilizzazione Ospedale di Tirana, AlbaniaOspedale di Candiolo (TO) Ospedale Agnelli, Pinerolo (TO) Ospedale Luigi Sacco, (MI) Sale operatorie, pronto soccorso, sterilizzazione Chioggia (VE) Ospedale di Desenzano del Garda (BS) Efficientamento energetico Centro Gallucci Ospedale di Padova
Referenze;PUNTI VENDITA;https://www.zoppellaro.net/Referenze;"C. commerciale Orio al SErio (BG)C. commerciale Nuovo Flaminia, BresciaPunto vendita Alì, Abano Terme (PD)C. commerciale Setteponti Unicoop Arezzo (AR) Iper Montebello della Battaglia (PV) C. Commerciale Collegno (TO) Area Elbi, Galleria C. commerciale Adige City, Verona sud Centro commerciale ""Namira "" , Borgo Virgilio , Mantova Punto vendita Leroy Merlin., Castel San Giovanni (PC) Decathlon e Scarpe & Scarpe Coop Castellaccio Massa e Cozzile (PT)"
Referenze;HOSPITALITY;https://www.zoppellaro.net/Referenze;Amy Sushi Parabiago, (MI)Hotel Sole, L' AquilaLuxory Hotel Villa d'Este, Cernobbio (CO)Hotel NH Milano FieraGrand Hotel Kinshasa, CongoHotel Gritti, VeneziaBusiness Hotel Pirelli, MilanoRistorante KFC Bicocca Village, MilanoHotel Sailing Village, Malcesine (VR)Allegroitalia Espresso Linate Segrate (MI)
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Zoppellaro è il partner ideale per il trattamento dell'aria, in ambito civile e industriale.;https://www.zoppellaro.net;La progettazione integrata CAD-CAM, le macchine a controllo numerico e un software di progettazione proprietario di terza generazione, ci consentono di realizzare soluzioni su misura fino ad arrivare a 200.000 m³/h di aria trattata. Con un team di esperti, un'area produttiva di oltre 6.500 m² e una rete commerciale efficiente, Zoppellaro offre un servizio completo, dalla consulenza all'assistenza post-vendita. La progettazione integrata CAD-CAM, le macchine a controllo numerico e un software di progettazione proprietario di terza generazione, ci consentono di realizzare soluzioni su misura fino ad arrivare a 200.000 m³/h di aria trattata. Con un team di esperti, un'area produttiva di oltre 6.500 m² e una rete commerciale efficiente, Zoppellaro offre un servizio completo, dalla consulenza all'assistenza post-vendita.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Climatizzatori per ambienti ospedalieri e sale operatorie;https://www.zoppellaro.net;Le unità denominate SO sono centrali di trattamento aria per l’utilizzo specifico nelle sale operatorie, e sono disponibili ed adattabili per qualsiasi dimensione di superficie servita. Le unità denominate SO sono centrali di trattamento aria per l’utilizzo specifico nelle sale operatorie, e sono disponibili ed adattabili per qualsiasi dimensione di superficie servita.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Deumidificatori per piscine;https://www.zoppellaro.net;Unità di deumidificazione e climatizzazione ad alto recupero energetico per piscine coperte ad uso sportivo, vasche riabilitative, ambienti spa e aree wellness. Unità di deumidificazione e climatizzazione ad alto recupero energetico per piscine coperte ad uso sportivo, vasche riabilitative, ambienti spa e aree wellness.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Unità di trattamento aria componibili;https://www.zoppellaro.net;Un prodotto conosciuto nel mercato per la qualità manifatturiera, che continuiamo a migliorare offrendo soluzioni con quadro elettrico e regolazione integrati. Un prodotto conosciuto nel mercato per la qualità manifatturiera, che continuiamo a migliorare offrendo soluzioni con quadro elettrico e regolazione integrati.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Condizionatori ROOF TOP;https://www.zoppellaro.net;Le unità della serie PAL condizionatori monoblocco autonomi rappresentano la soluzione ad elevata efficienza per soddisfare le esigenze di benessere termo igrometrico e di ricambio dell'aria negli impianti civili ed industriali. Le unità della serie PAL condizionatori monoblocco autonomi rappresentano la soluzione ad elevata efficienza per soddisfare le esigenze di benessere termo igrometrico e di ricambio dell'aria negli impianti civili ed industriali.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;PCA pre-cooling aircraft;https://www.zoppellaro.net;Sviluppo e realizzazione di unità ad espansione diretta
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Sviluppo e realizzazione di unità ad espansione diretta;https://www.zoppellaro.net;sia condensate ad acqua che ad aria per il precondizionamento di velivoli civili e militari in sosta. sia condensate ad acqua che ad aria per il precondizionamento di velivoli civili e militari in sosta.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Innovazione, tecnologia e cura artigianale;https://www.zoppellaro.net;In 50 anni di attività, Zoppellaro ha progettato e costruito migliaia di unità per il condizionamento, scegliendo di realizzare un prodotto che fosse tecnologicamente avanzato e durevole nel tempo. In 50 anni di attività, Zoppellaro ha progettato e costruito migliaia di unità per il condizionamento, scegliendo di realizzare un prodotto che fosse tecnologicamente avanzato e durevole nel tempo. Ogni area geografica si distingue per il proprio clima, ogni edificio per le proprie specifiche architettoniche nonché destinazioni d’uso, per questa ragione riteniamo che il benessere Ogni area geografica si distingue per il proprio clima, ogni edificio per le proprie specifiche architettoniche nonché destinazioni d’uso, per questa ragione riteniamo che il benessere termo-igrometrico possa essere raggiunto attraverso delle soluzioni studiate su misura.
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;termo-igrometrico possa essere raggiunto attraverso delle soluzioni studiate su misura.;https://www.zoppellaro.net;Potremmo raccontare di quanto questa piccola azienda si sia evoluta attraverso l’esperienza sul campo e la formazione dei propri tecnici, ma preferiamo dimostrare attraverso i nostri prodotti come una realtà con filosofia di estrazione artigianale possa competere con grandi players della climatizzazione fornendo soluzioni e servizi custom. Potremmo raccontare di quanto questa piccola azienda si sia evoluta attraverso l’esperienza sul campo e la formazione dei propri tecnici, ma preferiamo dimostrare attraverso i nostri prodotti come una realtà con filosofia di estrazione artigianale possa competere con grandi players della climatizzazione fornendo soluzioni e servizi custom. LE NOSTRE
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;TESTIMONIANZE;https://www.zoppellaro.net;Azienda familiare ben gestita da persone competenti ed affidabili con progetti sempre più innovativi ed ecosostenibili
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;Maurizio M.;https://www.zoppellaro.net;Azienda seria e affidabile
TRATTAMENTO ARIA CIVILE ED INDUSTRIALE;oppure scrivete a zoppellaro@zoppellaro.it;https://www.zoppellaro.net;Navigazione HOME L'AZIENDA REFERENZE SOLUZIONI SERVIZI NEWS CONTATTI
