Pagina_PDF,Modello Prodotto,Grandezza Telaio,Portata Massima,Unita di misura(m3/h),Pressione Operativa,Unita di misura(Pa),Portata Aria Ripresa Max,Unita di misura(m3/h)2,Pressione Spinta Massima,Unita di misura(Pa)2,Aria esterna massima,Unita di misura(m3/h)3,Valore di temperatura minimo,Efficenza(%),Capacita Massima Aria Esterna,Unita di misura(m3/h)4,Capacita frigorifera aria esterna,Potenza(KW),Capacita di assorbimento aria esterna,Potenza(KW)2,EER compressori,Potenza termica aria esterna,Potenza(KW)3,Potenza assorbita aria esterna,Potenza(KW)4,COP compressori,Potenza aria calda esterna,Potenza(KW)5,Potenza assorbita aria esterna 5,Potenza(KW)6,COP compressori.1,Potenza recuperata minima,Potenza(KW)7,Potenza frigorifera totale macchina6,Potenza(KW)8,EER minimo,Recupero Termico Minimo,Potenza(KW)9,Potenza termica totale macchina7,Potenza(KW)10,COP minimo sistema riferito ai soli compressori7,Recupero Termico,Potenza(KW)11,Potenza termica totale macchina,Potenza (KW)12,COP minimo,Efficienza stagionale in raffreddamento 9,Efficenza (%)2,Efficienza stagionale in riscaldamento 10,Efficenza (%)3,N. compressori / N. circuiti,Modulazione carico,Fluido refrigerante,Valvola espansione,Tipologia ventilatori sezione ventilante esterna,Tipologia ventilatori sezione ventilante mandata,Modulo gas massimo,Potenza termica massima modulo gas,Potenza (KW)13,Efficienza massima sul PCI,Efficenza (%)4,1 Pressione Massima,Unità di misura(Pa)3,1 Pressione Massima Ripresa,Unità di misura(Pa)4,2 Rapporto di temperatura minimo,Efficenza(%)4,3 Potenza frigorifera aria esterna,Potenza(KW)14,3 Potenza assorbita aria esterna,Potenza(KW)15,4 Potenza termica aria esterna,Potenza(KW)16,4 COP compressori,5 Potenza termica aria esterna,Potenza(KW)17,5 Potenza assorbita aria esterna,Potenza(KW)18,5 COP compressori,Recupero Termico Minimo2,Potenza(KW)19,6 Potenza frigorifera totale macchina,Potenza(KW)20,6 EER minimo sistema riferito ai soli compressori,7 Potenza recuperata minima dalla ruota 33% a.e.,Potenza(KW)21,7 Potenza termica totale macchina,Potenza(KW)22,7 COP minimo sistema riferito ai soli compressori,8 Potenza termica totale macchina,Potenza(KW)23,9 Efficienza stagionale in raffreddamento,Efficenza(%)5,10 Efficienza stagionale in riscaldamento,Efficenza(%)6,Potenza massima assorbita,Potenza(KW)24,Corrente massima assorbita,Corrente massima assorbita(A),Spunto massimo M/FCS,Corrente massima assorbita(A)2,Alimentazione
9,AO-358,G,35.887,m3/h,,,36.398,m3/h,,,32.222,m3/h,,,17.535,m3/h,,,,,"3,8",,,"32,3",kW,,,,,,,,,,,,,,,,,"63,6",kW,,,"5,2",,,,,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G212,"195,8",kW,"107,8",%,811.0,Pa,586.0,Pa,75.0,%,"161,7",kW,"44,1",kW,"149,4",kW,"4,6","128,3",kW,"26,9",kW,"3,9","53,9",kW,"247,9",kW,"5,5","31,1",kW,"206,3",kW,"6,2","183,3",kW,"125,1",%,"140,4",%,,,,,,,
9,AP-353,G,35.321,m3/h,,,33.638,m3/h,,,38.483,m3/h,,,16.902,m3/h,,,,,"4,6",,,"36,7",kW,",",,,,,,,,,,,,,,,,"73,7",kW,,,"5,6",,,,,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G212,"174,7",kW,"117,7",%,983.0,Pa,663.0,Pa,75.0,%,"184,4",kW,"45,6",kW,"178,5",kW,"4,3","126,8",kW,"32,9",kW,"4,4","61,5",kW,"267,1",kW,"6,1","34,5",kW,"229,8",kW,"5,1","188,5",kW,"130,2",%,"145,7",%,,,,,,,
9,AQ-426,G,42.621,m3/h,,,37.493,m3/h,,,40.379,m3/h,,,17.831,m3/h,,,,,"3,9",,,"35,3",kW,,,,,,,,,,,,,,,,,"71,3",kW,,,"6,5",,,,,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G212,"180,5",kW,"111,3",%,1.2,Pa,808.0,Pa,75.0,%,"209,5",kW,"45,8",kW,"192,8",kW,"4,5","126,1",kW,"32,4",kW,"4,7","65,6",kW,"282,8",kW,"5,5","36,7",kW,"245,8",kW,"5,8","231,2",kW,"135,5",%,"142,4",%,,,,,,,
9,AR-417,G,41.772,m3/h,,,38.057,m3/h,,,37.825,m3/h,,,19.955,m3/h,,,,,"4,6",,,"45,2",kW,,,,,,,,,,,,,,,,,"79,3",kW,,,"5,9",,,,,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G212,"182,4",kW,"101,6",%,994.0,Pa,720.0,Pa,75.0,%,"240,9",kW,"62,9",kW,"241,4",kW,"4,8","148,4",kW,"40,3",kW,"4,3","65,8",kW,"292,8",kW,"5,3","34,5",kW,"237,7",kW,"5,5","215,1",kW,"146,3",%,"133,9",%,,,,,,,
9,AS-429,H,42.978,m3/h,,,44.472,m3/h,,,42.465,m3/h,,,22.155,m3/h,,,,,"3,7",,,"41,2",kW,,,,,,,,,,,,,,,,,"75,7",kW,,,"5,8",,,,,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G320,"271,89",kW,"116,9",%,920.0,Pa,622.0,Pa,75.0,%,"259,6",kW,"60,1",kW,"200,7",kW,"4,5","156,2",kW,"44,2",kW,"4,1","72,1",kW,"284,3",kW,"5,4","37,5",kW,"248,4",kW,"6,1","246,3",kW,"135,3",%,"147,1",%,,,,,,,
10,AT-469,H,46.944,m3/h,1.098,Pa,52.785,m3/h,685.0,Pa,53.224,m3/h,73.0,%,24.371,m3/h,"256,9",kW,"64,4",kW,"4,4","243,5",kW,"49,8",kW,"4,9","178,6",kW,"49,5",kW,"3,9","86,6",kW,"325,7",kW,"4,8","50,5",kW,"321,4",kW,"5,2","98,3",kW,"283,1",kW,"6,5","142,6",%,"134,4",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G320,"300,36",kW,"104,3",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AV-635,I,63.515,m3/h,811.0,Pa,54.322,m3/h,638.0,Pa,60.833,m3/h,73.0,%,22.774,m3/h,"312,4",kW,"81,3",kW,"4,6","274,7",kW,"55,7",kW,"4,7","218,9",kW,"51,2",kW,"3,6","99,8",kW,"404,1",kW,"5,2","54,3",kW,"314,3",kW,"5,4","115,7",kW,"345,7",kW,"6,6","149,4",%,"114,5",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan AC,G320,"317,83",kW,"98,3",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AW-547,I,54.755,m3/h,854.0,Pa,56.447,m3/h,684.0,Pa,62.264,m3/h,73.0,%,24.139,m3/h,"330,4",kW,"75,8",kW,"3,3","308,5",kW,"68,8",kW,"4,8","239,5",kW,"59,4",kW,"3,2","100,1",kW,"399,2",kW,"5,3","52,8",kW,"333,8",kW,"5,7","95,9",kW,"355,8",kW,"5,3","125,8",%,"122,8",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan AC,G320,"312,69",kW,"104,9",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AT-469,H,46.944,m3/h,1.098,Pa,52.785,m3/h,685.0,Pa,53.224,m3/h,75.0,%,24.371,m3/h,"256,9",kW,"64,4",kW,"4,4","243,5",kW,"49,8",kW,"4,9","178,6",kW,"49,5",kW,"3,9","86,6",kW,"325,7",kW,"4,8","50,5",kW,"321,4",kW,"5,2","98,3",kW,"283,1",kW,"6,5","142,6",%,"134,4",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan EC,G320,"300,36",kW,"104,3",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AV-635,I,63.515,m3/h,811.0,Pa,54.322,m3/h,638.0,Pa,60.833,m3/h,75.0,%,22.774,m3/h,"312,4",kW,"81,3",kW,"4,6","274,7",kW,"55,7",kW,"4,7","218,9",kW,"51,2",kW,"3,6","99,8",kW,"404,1",kW,"5,2","54,3",kW,"314,3",kW,"5,4","115,7",kW,"345,7",kW,"6,6","149,4",%,"114,5",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan AC,G320,"317,83",kW,"98,3",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,AW-547,I,54.755,m3/h,854.0,Pa,56.447,m3/h,684.0,Pa,62.264,m3/h,75.0,%,24.139,m3/h,"330,4",kW,"75,8",kW,"3,3","308,5",kW,"68,8",kW,"4,8","239,5",kW,"59,4",kW,"3,2","100,1",kW,"399,2",kW,"5,3","52,8",kW,"333,8",kW,"5,7","95,9",kW,"355,8",kW,"5,3","125,8",%,"122,8",%,04-feb,gradini,R410A,Elettronica,Assiali EC,Plug fan AC,G320,"312,69",kW,"104,9",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
